2013-01-01,"Dacha or villa",ABODE
2013-01-01,"Rock used to make sparks",FLINT
2013-01-01,"Equine : horse :: vulpine : ___",FOX
2013-01-01,"Unsophisticated sorts",RUBES
2013-01-01,"Storm tracker",RADAR
2013-01-01,Dined,ATE
2013-01-01,"End-of-semester doings",EXAMS
2013-01-01,"With 61-Across, goal of Frederick Douglass and Harriet Beecher Stowe",ABOLITION
2013-01-01,"Big book",TOME
2013-01-01,"Disclosure to a loan applicant: Abbr.",APR
2013-01-01,"U.S. capital and environs",DCAREA
2013-01-01,"With 51-Across, presidential order signed on January 1, 1863",EMANCIPATION
2013-01-01,"Hit it off with",TAKETO
2013-01-01,"Old Russian leaders",TSARS
2013-01-01,"Art movement for Picasso",CUBISM
2013-01-01,"Scrooge player Alastair",SIM
2013-01-01,"Stockyard call",MOO
2013-01-01,"With 39-Across, signer of the 23-/51-Across",ABRAHAM
2013-01-01,"See 37-Across",LINCOLN
2013-01-01,"Jetsam locale",SEA
2013-01-01,"Rapper with the #1 album “Hip Hop Is Dead”",NAS
2013-01-01,Almost,NEARLY
2013-01-01,"___-Detoo of “Star Wars”",ARTOO
2013-01-01,"Signs of spring",ROBINS
2013-01-01,"See 23-Across",PROCLAMATION
2013-01-01,"Acquired with little or no effort",CAMEBY
2013-01-01,"TV’s Sue ___ Langdon",ANE
2013-01-01,Romance,LOVE
2013-01-01,"See 18-Across",OFSLAVERY
2013-01-01,"“Holy Toledo!”",ZOWIE
2013-01-01,"“It’s f-f-freezing!”",BRR
2013-01-01,"Salsa singer Cruz",CELIA
2013-01-01,Lectern,STAND
2013-01-01,"Jazz style",BOP
2013-01-01,"Rickover known as the Father of the Nuclear Navy",HYMAN
2013-01-01,Imbeciles,ASSES
2013-01-01,"Mountain ridge",ARETE
2013-01-01,Big-bosomed,BUXOM
2013-01-01,"Time’s Person of the Year for 2008 and 2012",OBAMA
2013-01-01,"Loss of faculties",DEMENTIA
2013-01-01,"Beginning of summer?",ESS
2013-01-01,"Fruity iced beverage",FRAPPE
2013-01-01,"Runners of experiments",LABRATS
2013-01-01,"Nuptial vow",IDO
2013-01-01,"Old-time actress Nita",NALDI
2013-01-01,"Knit fabric in lingerie and swimwear",TRICOT
2013-01-01,"Like a fly ball off the foul pole",FAIR
2013-01-01,"Tribe encountered by Lewis and Clark",OTOE
2013-01-01,"Lucy Lawless title role",XENA
2013-01-01,Bronzes,TANS
2013-01-01,"Quarterback Troy",AIKMAN
2013-01-01,"Legal tender",CASH
2013-01-01,Labor,TOIL
2013-01-01,"Omnia vincit ___",AMOR
2013-01-01,"Move on casters",ROLL
2013-01-01,"LG Electronics competitor",SONY
2013-01-01,"House in Havana",CASA
2013-01-01,"Above, in Berlin",UBER
2013-01-01,Misbehaver,BRAT
2013-01-01,"Role for diminutive Verne Troyer in “Austin Powers” films",MINIME
2013-01-01,"Artist Chagall",MARC
2013-01-01,"“99 Luftballons” singer, 1984",NENA
2013-01-01,"Made a random selection, in a way",CASTLOTS
2013-01-01,"Sunny rooms",SOLARIA
2013-01-01,"German auto make",OPEL
2013-01-01,"Jerry of stage and screen",ORBACH
2013-01-01,"Canopy tree",BANYAN
2013-01-01,"Comment from a kvetcher",OYVEY
2013-01-01,"Early Great Plains residents",IOWAS
2013-01-01,Sheeplike,OVINE
2013-01-01,Imperatives,NEEDS
2013-01-01,"All-time career batting average leader",COBB
2013-01-01,"Early Michael Jackson hairstyle",AFRO
2013-01-01,"Car sticker fig.",MSRP
2013-01-01,"Tree in many street names",ELM
2013-01-01,"When doubled, a Gabor",ZSA
2013-01-02,"With 71-Across, breakfast choice … or a punny hint to this puzzle’s theme",FROOT
2013-01-02,"River in a 1957 hit movie",KWAI
2013-01-02,"SALT topic",ICBM
2013-01-02,"Singer/actress Luft",LORNA
2013-01-02,"Boss Tweed lampooner",NAST
2013-01-02,"___ avis",RARA
2013-01-02,"Midwest hub",OHARE
2013-01-02,Eye,OGLE
2013-01-02,"Words after “come” or “go”",ONIN
2013-01-02,"Mark down for a sale, say",RELABEL
2013-01-02,"Model’s path",RUNWAY
2013-01-02,"“Lawrence of Arabia” figure",MOSLEM
2013-01-02,Spotted,SEEN
2013-01-02,"Angel dust, briefly",PCP
2013-01-02,"Ore tester",ASSAYER
2013-01-02,"“Amo, amas, I love ___”",ALASS
2013-01-02,"Cut crosswise",TRANSECT
2013-01-02,"Slangy affirmative",YEP
2013-01-02,"Make scents of?",ODORIZE
2013-01-02,"Cry of derision",YAH
2013-01-02,"Hot desert wind",SANTAANA
2013-01-02,"Yankees manager before Girardi",TORRE
2013-01-02,"F.D.A.-banned diet pill ingredient",EPHEDRA
2013-01-02,"Thrice, on an Rx",TER
2013-01-02,"With 35-Down, fictional heroine who says “I am no bird; and no net ensnares me”",JANE
2013-01-02,"Augustus ___",CAESAR
2013-01-02,"Hit for Guy Lombardo in 1937 and Jimmy Dorsey in 1957",SORARE
2013-01-02,"Jewish or Iranian, e.g.",NONARAB
2013-01-02,Make,EARN
2013-01-02,"Auden or Aiken",POET
2013-01-02,[Bo-o-oring!],SNORE
2013-01-02,"Swarm member",GNAT
2013-01-02,"Layer of the eye",UVEA
2013-01-02,"Singers James and Jones",ETTAS
2013-01-02,"Hard thing to carry",ONUS
2013-01-02,"Meal for a weevil",BOLL
2013-01-02,"See 1-Across",LOOPS
2013-01-02,"Dona ___ (1976 Sonia Braga role)",FLOR
2013-01-02,"Architect Mies van der ___",ROHE
2013-01-02,"Like much folklore",ORAL
2013-01-02,"Things that lead to mergers?",ONRAMPS
2013-01-02,"Billy Blanks fitness system",TAEBO
