2019-12-31,"Diving gear",SCUBA
2019-12-31,"Home to seven “-stan” countries",ASIA
2019-12-31,"Drive-up bank conveniences",ATMS
2019-12-31,"Wagner on a very valuable baseball card",HONUS
2019-12-31,"James of Her Majesty’s Secret Service",BOND
2019-12-31,"Actress Patricia of “Hud”",NEAL
2019-12-31,"*Currency replaced by the euro","IRISH POUND"
2019-12-31,"___ a soul (no one)",NARY
2019-12-31,"G.O.P. fund-raising org.",RNC
2019-12-31,"Makes a boo-boo",ERRS
2019-12-31,"Apply suddenly, as brakes","SLAM ON"
2019-12-31,"Not go bad",KEEP
2019-12-31,"Just one small bite","A TASTE"
2019-12-31,"Pigeon’s sound",COO
2019-12-31,"Trip through the bush",SAFARI
2019-12-31,"*Decorative garden feature with fish","KOI POND"
2019-12-31,"Many an adopted pet",RESCUE
2019-12-31,"Star pitchers",ACES
2019-12-31,"*Almost-identical pair, figuratively","TWO PEAS IN A POD"
2019-12-31,"___ Sea (mostly dried-up lake)",ARAL
2019-12-31,"Country on an isthmus",PANAMA
2019-12-31,"*It flows through Turin","RIVER PO"
2019-12-31,"Big name in sunglasses",RAY-BAN
2019-12-31,"Clinch victory in",ICE
2019-12-31,"Result of a coup",OUSTER
2019-12-31,Top-notch,A-ONE
2019-12-31,"Preachers preach it",GOSPEL
2019-12-31,Oodles,"A LOT"
2019-12-31,"Periods after the fourth qtr.",OTS
2019-12-31,"Duchess of ___ (Goya subject)",ALBA
2019-12-31,"Common New Year’s resolution — as hinted at by the answers to the four starred clues","LOSE WEIGHT"
2019-12-31,"“Dear Santa” requests",TOYS
2019-12-31,"Like 2, 4, 6, 8 …",EVEN
2019-12-31,"The mermaid in “The Little Mermaid”",ARIEL
2019-12-31,"Magnetite and cassiterite",ORES
2019-12-31,"Common first word",DADA
2019-12-31,"“___ after class”","SEE ME"
2019-12-31,"Neglects, as responsibilities",SHIRKS
2019-12-31,"It’s reshaped by Lasik surgery",CORNEA
2019-12-31,"Humanitarian org. since 1946",UNICEF
2019-12-31,"Clear tables in a restaurant",BUS
2019-12-31,"Tennis’s Arthur ___ Stadium",ASHE
2019-12-31,"Call off, as a mission",ABORT
2019-12-31,"Composer whose work might be appropriate during March Madness?",SOUSA
2019-12-31,"Alternative to an Airbnb",INN
2019-12-31,Supplements,"ADDS TO"
2019-12-31,"Elsa’s sister in “Frozen”",ANNA
2019-12-31,"Fans of Conan O’Brien, colloquially","TEAM COCO"
2019-12-31,"Cast away, like Crusoe",MAROONED
2019-12-31,"Subtle acknowledgments","SLY NODS"
2019-12-31,"Give kudos",PRAISE
2019-12-31,"Floral necklace",LEI
2019-12-31,"Sentence shortener",PAROLE
2019-12-31,"Yarn purchase",SKEIN
2019-12-31,"Gym lifter’s unit",REP
2019-12-31,"Tropical fruit with orange flesh",PAPAYA
2019-12-31,"Mafia bosses",CAPOS
2019-12-31,"Olympics chant",USA!
2019-12-31,"Like the French and Italian flags",TRICOLOR
2019-12-31,"Silently bids adieu","WAVES BYE"
2019-12-31,"Limited, as a search",NARROW
2019-12-31,"Doctors’ org.",AMA
2019-12-31,"Thank you, in Tokyo",ARIGATO
2019-12-31,"Eggs on sushi",ROE
2019-12-31,"Like some teeth, pork and punches",PULLED
2019-12-31,"Get down on the dance floor",BOOGIE
2019-12-31,"“God Save the Queen,” for one",ANTHEM
2019-12-31,"Big name in chocolate and bottled water",NESTLE
2019-12-31,"Zapped at a riot, perhaps",TASED
2019-12-31,"Kagan on the bench",ELENA
2019-12-31,"Comment at a bridge table",PASS
2019-12-31,"Herbal brews",TEAS
2019-12-31,"Egg cells",OVA
2019-12-31,"Emotion that’s “raised”",IRE
